"id","property_id","property_name","property_type","gender","description","amenities","in_time","out_time","monthly_tarrif","quarterly_tarrif","halfyearly_tarrif","yearly_tarrif","single_price","double_price","triple_price","quad_price"
"1","1","Placio Elite Homes","pg","male","Come stay at Placio Elite Homes, a home-like student accommodation for male students. It is located in Sector 126, minutes away from Amity University, Sector 125, Noida. Male students enrolling in Amity can get clean and comfortable fully rooms on double and triple sharing basis. All the rooms have privately attached bathrooms with pre-installed geysers, spacious cupboards, soft bedding, air-conditioners, and a TV. In addition to basic amenities, Placio Elite also has a warden facility to ensure that all your needs and grievances are addressed without delay, a bike parking facility, and laundry and room cleaning services. All in all, Placio Elite provides a home-like comfort to students starting a new and important chapter of their lives at Amity University, Sector 125, Noida.","28,29,30,31,34,68,69,70,71,72,73,74,77,79,86,87,88,89,93,94,95,97,98,101,105,106","08:30 PM","08:30 AM","1","1","1","1","","18000","",""
"3","3","Placio Divya Homes","pg","female","Placio Divya is a female-only student housing property located close by to Amity University, Sector 125, Noida. The property offers one types of fully furnished accommodation options to Amity students - Double Room. All these rooms are carefully designed to provide ample space to the students, making them feel comfortable and at home. This Placio verified property is located in Village Raipur, Sector 126 and comes equipped with a bike parking facility, room cleaning service, and a warden facility. Since it is a female-only student housing facility, Placio Divya ensures the safety of each and every resident like its daughters.","29,30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,92,93,94,95,97,98,101,105,106","07:45 PM","07:45 AM","1","1","1","1","","16000","",""
"7","7","Placio Pavillion","pg","male","Placio Pavilion offers impeccable, fully furnished rooms on double sharing basis for male students. What makes this property an ideal choice for Amity University students is the easy distance at which it is located. The rooms at Placio Pavilion are equipped with all the modern comforts that will make the university tenure of students at Amity a memorable and comfortable experience. All the rooms have air-conditioners, cupboards, good quality bedding, and attached bathrooms with geysers. Placio Pavilion additionally offers room cleaning and warden services. 24x7 power backup, high-speed broadband connectivity, parking for residents, two meals a day, study tables and chairs are some other features that give Placio Pavilion a home like touch.

","28,29,30,31,34,66,68,70,71,72,73,74,77,79,86,87,88,89,93,94,95,96,97,98,101,105,106","08:45 PM","08:45 AM","1","1","1","1","","18000","",""
"11","11","Placio Admire Homes","pg","male","<p>Placio Admire Homes is every college goer’s dream - a student housing facility nearby Amity University, Sector 125, Noida that offers youthful accommodation options for males students. They can choose from Single Rooms and Double Rooms, both of which come installed with bedding, cupboards, air conditioners, and attached bathrooms with geysers. The property is located in Village Raipur in Sector 126, which makes it easier for Amity students to commute to and fro on college days, saving time, money and energy. The colourful ad brilliant graffiti on the walls of Placio Admire gives its a very fresh and vibrant atmosphere which the Amity students fall in love with immediately. </p>","27,30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,93,94,96,98,101,103,104,105,106","09:30 AM","08:30 AM","1","1","1","1","20000","13000","",""
"13","13","Placio Amy House","pg","male","Placio Amy House is unique like other student living spaces offered by Placio. Located at Sector 126, the property is easily accessible from Amity University Noida and can be chosen for value for money student living by male students. At Placio Amy House meals are optional, but if you choose to dine you can enjoy quality meals served at the theme based dining area. There is a gaming zone in the cafeteria that surely offer students a moment to chill out during their stay at Amy House. At this property students also get parking space for their vehicles, security services and doctor on call facility. The property also features housekeeping services, 24 x 7 water & electricity supply, ACs, doorbell in rooms and fully furnished living areas. It offers free Wi-Fi facility for resident students along with technological services like customer helpline, SOS helpline for medical and non-medical emergencies and parents helpline.","27,28,29,30,31,34,66,70,71,72,73,74,79,86,87,88,89,90,92,93,94,95,96,98,101,105,106","10:30 PM","07:00 AM","1","1","1","1","","15500","14000",""
"14","14","Placio Atlantis Homes","pg","female","Placio Atlantis Homes provide a safe, secure and comfortable living environment for female students to study and relax in. We take the safety of our students very seriously. Professionally managed, the accommodation has been specially designed to provide everything you need to make your life as a student as easy as possible. We deliver an exceptional student experience by providing double occupancy fully-furnished AC rooms which are equipped with all the facilities required for you to have a great stay. You’ll love the contemporary feel of your new home, and your mind will be kept at ease knowing there are an on-site security, housekeeping and laundry service. The AC rooms have all the very amenities along with fridge, TV, desk and chairs, along with bed, mattress, pillow and linen. We have taken care of the fiddly bits so that you can concentrate on settling in and getting to your lectures on time. High speed WiFi, drinking water, power back are all taken care off. Placio also offers healthy, nutritious and tasty food in our in-house dining. We also offer a parent helpline for a comfortable stay making this the best choice for female students. This place fosters friendship, solidarity and mutual respect.","27,30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,92,93,94,96,97,98,101,105,106","08:15 AM","08:15 AM","1","1","1","1","","15000","",""
"16","16","Placio Venus","pg","female","Placio Venus offers impeccable, fully furnished rooms on double sharing basis for female students. What makes this property an ideal choice for Amity University students is the easy distance at which it is located. The rooms at Placio Venus are equipped with all the modern comforts that will make the university tenure of students at Amity a memorable and comfortable experience. All the rooms have air-conditioners, cupboards, good quality bedding, and attached bathrooms with geysers. Placio Venus additionally offers room cleaning and warden services. 24x7 power backup, high-speed broadband connectivity, parking for residents, two meals a day, study tables and chairs are some other features that give Placio Venus a home like touch.","30,31,34,66,70,71,72,73,74,77,79,86,87,88,89,92,93,94,95,96,97,98,101,105,106","06:15 PM","07:15 AM","1","1","1","1","","12500","",""
"18","18","Placio The Grand Castle","pg","male","You've made up your mind of moving to Noida. Our apartments are located throughout the city, and Placio has considerable experience in off-campus student housing and with pride in our ability we meet those needs. As a student, you deserve a welcoming, safe, well-maintained space to study, to unwind and to enjoy yourself. Here we offer a new kind of student living experience, designed with male students in mind. Living with Placio Housing isn't just about buildings, it’s about safe, secure homes where you can study and socialise in comfort. Our properties are perfectly located near city centres or universities, putting you within easy reach of your college, meaning fewer early-morning commutes. These housing come fully equipped with everything you need. Placio Grand Castle offers fully furnished AC rooms on double sharing basis. Each room is equipped with beds, study table and chairs, storing space, mattress, pillows and clean linen. Your mind will be at ease knowing there’s on-site management teams, laundry services, monitored, CCTV safety teams with 24x7 round the clock ready to help you with anything you need during your stay.  And all of our residences have plenty of communal spaces for studying or socialising. You'll have everything you need for a flying start to student life.  These days are unique moment in your life, so we pride ourselves on delivering exceptional experiences. ","28,30,31,34,66,71,72,73,74,77,79,86,87,88,89,93,94,96,97,98,101,105,106","07:00 PM","07:00 AM","1","1","1","1","","16000","",""
"22","22","Placio Imperial Homez","pg","female","Located in Malviya Nagar near College of Vocational Studies, Placio Imperial Homez is accommodation for female students who want the lively and diverse life South Campus offers. We specialise in student housing to meet the needs of those who are studying in South Campus. We provide clean, safe and secure environments for female students in diverse and multi-cultural areas, allowing our residents to focus on their student experience. All our accommodation come fully furnished, either with single, double and triple occupancy – with attached bathroom, AC, TV, cupboard and mattress with pillow. We have rooms that suit everyone as they are modern and high quality, but reasonably priced. There is onsite management staff to ensure residences are maintained to a high standard. We also provide laundry, WiFi, in-house meals, parking facility. Our residents’ safety is extremely important to us and we have wardens, secure access, parent helpline and CCTV cameras on site for added security. Our communal areas are great to meet other students or to use for group study. Our student accommodation are all located for quick and reliable transport links across South Campus – and are even walking distance from popular university campuses and academic institutions. Placio Imperial Homez is ideal for those that want to experience university life away from home, but still want to be taken care of as if they were staying home and focusing on your studies.","30,31,34,66,67,70,71,72,73,74,79,86,87,88,89,94,96,97,99,101,105,106","10:00 AM","08:00 PM","1","1","1","1","16500","13000","11500","10500"
"26","26","Placio GR Homes","pg","female","Placio GR Homes offers impeccable, fully furnished rooms on double sharing and Triple Sharing basis for female students. What makes this property an ideal choice for students studying in Vijay Nagar is the easy distance at which it is located. The rooms at Placio GR Homes are equipped with all the modern comforts that will make Institutional tenure of students in Vijay Nagar a memorable and comfortable experience. All the rooms have cupboards, good quality bedding, and attached bathrooms. In addition to basic amenities, Placio GR Homes also has a warden facility to ensure that all your needs and grievances are addressed without delay, and room cleaning services. All in all, Placio GR Homes provides a home-like comfort to students starting a new and important chapter of their lives Vijay Nagar, Indore.","27,31,34,70,71,72,73,74,77,79,87,88,89,93,94,96,98,101,105,106","10:00 AM","08:00 PM","1","1","1","1","8500","7500","6500",""
